county,diabetes,obesity
20173,10.4,35.1
20175,9,32.1
20177,11.1,37
20179,6.7,26.2
20181,6.4,31.6
20183,7.4,26.3
20185,7.9,24.6
20187,6.9,19.2
20189,8.1,30.4
20191,9.5,33.2
20193,8.7,28.4
20195,9.4,25.6
20197,9.1,30.9
20199,6.7,18.7
20201,7.2,24.8
20203,8.2,28.3
20205,9.2,28.9
20207,8,23.5
20209,12.3,42
21001,8.5,27.8
21003,8.6,21.9
21005,7.5,19
21007,7.6,21
21009,9.3,28.3
21011,10.2,30.9
21013,8.8,30.2
21015,9.5,35
21017,7.3,23.1
21019,13.6,40.7
21021,9.4,27.3
21023,7.2,28
21025,9.7,32.2
21027,8.2,27
21029,8.7,34.6
21031,8,23.8
21033,9.9,26.8
21035,8.3,29.8
21037,7.9,36.4
21039,7.2,21
21041,8.1,24.3
21043,11.2,34.1
21045,8.3,19.3
21047,12,31.1
21049,8.1,27.5
21051,9,25.1
21053,8.8,28.4
21055,8.8,24.4
21057,7.2,19.5
21059,9.9,33
21061,8.2,25.7
21063,7.5,25.4
21065,7.7,23.1
21067,8.9,29.5
21069,9.4,31.3
21071,11.8,36.2
21073,8.7,30.4
21075,8.1,20.3
21077,8,21.7
21079,7.2,22.7
21081,9.9,26.4
21083,10.2,31.7
21085,8.6,32.8
21087,7.8,20.6
21089,9.8,35.5
21091,7.8,22.1
21093,9.9,35
21095,12,41.9
21097,7.7,24.9
21099,8.8,26.7
21101,10.7,35.1
21103,7.2,25.3
21105,7.6,20
21107,13,36.3
21109,9,32.1
21111,10.4,32.6
21113,7.7,26.9
21115,9.7,36.5
21117,10.1,33.9
21119,12.2,31.3
21121,8.5,29.6
21123,8,26.9
21125,10.8,32
21127,7.6,27.1
21129,8.6,28.5
21131,10.7,26.6
21133,10.1,36.8
21135,9.4,28.8
21137,9.1,24.5
21139,7.9,24.7
21141,8.9,24.2
21143,9.1,24.2
21145,10.3,32.5
21147,10.1,30.1
21149,7.7,24.7
21151,8.5,33
21153,10.2,31.1
21155,7.8,25.5
21157,8.2,32.7
21159,8.9,24.7
21161,8.2,30.5
21163,7.9,27.8
21165,10.4,29.8
21167,8.8,30.1
21169,7.5,24.1
21171,7,20.1
21173,8.6,34
21175,8.4,28.3
21177,13.2,36.2
21179,9,31
21181,7.9,19.8
21183,9.8,24.6
21185,8,32
21187,8.9,21.3
21189,7.3,22.8
21191,8.2,30.6
21193,10.1,36.6
21195,11.3,37.8
21197,8,19.3
21199,10,36.3
21201,7.1,17.9
21203,8.3,25.8
21205,8.4,32
21207,9.2,26.9
21209,6.3,26.8
21211,7.2,27.1
21213,7.9,24.9
21215,8.1,23.2
21217,8.8,29.1
21219,8,26.5
21221,10.2,30.5
21223,7.7,21.9
21225,7.9,25.1
21227,8.1,29.8
21229,8,22.6
21231,9.2,30.9
21233,7.6,28.1
21235,11.4,28.3
21237,11,29.9
21239,7.5,23.8
22001,11.1,35.7
22003,8.3,24.7
22005,9.4,29.9
22007,9.2,31.2
22009,10.2,31
22011,9.9,29.1
22013,8.3,16.5
22015,10,34
22017,13.5,41.2
22019,12.3,36.2
22021,7.4,18.8
22023,7,19.5
22025,8,19.5
22027,8.8,22.4
22029,10.1,25.8
22031,10.4,24.5
22033,11.1,34.6
22035,7.9,16.5
22037,8.7,22.7
22039,10.2,26.5
22041,7.8,22.2
22043,9.3,27.6
22045,10.5,32.7
22047,11,24.8
22049,7.4,21.9
22051,11.1,34.4
22053,7.5,32.1
22055,10,31.2
22057,12.8,34.6
22059,7.9,23.2
22061,8,23.3
22063,9.7,38.7
22065,8.7,20.1
22067,8.3,23.4
22069,9.9,29.5
22071,9.8,26.9
22073,12.1,36.8
22075,8.2,20.7
22077,10.3,23.3
22079,11.9,41
22081,7.9,18.5
22083,8.4,22
22085,7.5,27.4
22087,10.7,28.3
22089,8.6,28.7
22091,7.8,20.8
22093,11.3,30.5
22095,10.1,31.3
22097,10,33
22099,9.5,32.1
22101,12.2,29.3
22103,8.8,28
22105,10.9,38.7
22107,7.9,18.2
22109,14.3,41.8
22111,7.7,19
22113,8.2,34.7
22115,10,39.1
22117,12.7,37
22119,10.5,27.7
22121,10,23.1
22123,8.8,21.8
22125,8.2,18.6
22127,7.9,18.7
23001,9.6,33.4
23003,10.3,36.9
23005,6.9,24.8
23007,7.2,31.3
23009,6.5,28.7
23011,9.3,33.6
23013,7.5,27.7
23015,6.6,22.6
23017,8.2,33.3
23019,10,34.6
23021,9.1,33.4
23023,8.3,29.4
23025,10.1,31.9
23027,6.9,31.1
23029,8.8,33.5
23031,7.5,30
24001,10.4,34.4
24003,8.7,30.6
24005,8.9,32
24009,9.3,32.7
24011,12.6,39.7
24013,8.2,28.5
24015,9.3,36.2
24017,11.7,41.5
24019,13.8,38.3
24021,8.9,29.7
24023,9.5,30.9
24025,9.2,32.6
24027,7.2,24.4
24029,9,29.9
24031,6.8,21.6
24033,11.9,34.8
24035,7.8,29.1
24037,10.6,36.4
24039,11.7,34.7
24041,7.4,31.3
24043,10.6,36.3
24045,11,36.9
24047,9.9,31.5
24510,12.5,36.6
25001,6.1,23.1
25003,8,22.5
25005,7.6,27.3
25007,7.2,18.3
25009,7,26.6
25011,6.7,26.4
25013,8.2,30.2
25015,6.3,22
25017,6.4,20.4
25019,7.1,20.7
25021,7.1,22.8
25023,6.7,24.4
25025,8.1,21.3
25027,8,30.6
26001,8,19.5
26003,7.8,19.5
26005,8.3,29.9
26007,8.4,27.1
26009,7.5,26
26011,6.9,20.7
26013,7.6,22.1
26015,8.3,28.3
26017,10.2,33.6
26019,8.3,26
26021,7.9,33.4
26023,9.8,27.8
26025,10.8,37.6
26027,8,26
26029,6.4,26.2
26031,8.6,30.2
26033,8.7,26.3
26035,10.1,32.8
26037,9.5,29.6
26039,7.2,19.6
26041,9.9,32.5
26043,7.5,25.8
26045,7.4,32.4
26047,6.7,23.4
26049,11.8,38.7
26051,8.4,24.5
26053,8.6,22.8
26055,7.2,26.4
26057,8.5,35.5
26059,7.7,29.4
26061,7.9,22.1
26063,8.6,27.5
26065,8.7,30.5
26067,10.1,35.6
26069,8.9,29.7
26071,7.5,20.3
26073,8.6,32.3
26075,9.6,37.2
26077,8.2,35.5
26079,8,25.4
26081,9.2,32
26083,6.9,17.9
26085,8.6,24.1
26087,8.4,36.6
26089,6.6,23.2
26091,10.5,39.2
26093,7.1,30.1
26095,7.2,18.2
26097,8.4,25.4
26099,10.1,33.7
26101,7.8,23.2
26103,7.2,27.6
26105,8.1,28.2
26107,8.5,28.9
26109,7.2,26.8
26111,6.3,30.1
26113,7.8,24.9
26115,9.1,35.1
26117,8.5,37.2
26119,7.8,22.9
26121,10.3,36.7
26123,7.8,35.4
26125,8.2,30.1
26127,10.1,24.2
26129,9,23.3
26131,7.1,21.3
26133,8.1,23.7
26135,7.3,21.9
26137,6.9,24.1
26139,8.2,27.5
26141,7.6,23.4
26143,7.4,25
26145,10.5,41.8
26147,9.2,32.6
26149,9.5,25.6
26151,7.6,33.2
26153,7.1,19
26155,7.2,34.2
